old_label,old_section,content,action,revised_supplement_location,archive_path_tex,archive_path_csv,rows_in_csv,generator_script,source_record,source_record_sha256,table_sha256,reason,main_manuscript_refs_affected
tab:sobol-convergence-self,S12,"Tight-to-tighter self-differences and reference-inclusive envelopes, 17-orbit convergence subset",MOVE,aggregate summary retained in S12; full table archived,supplement_archive/full_legacy_tables/r10_sobol_convergence_self.tex,processed/per_orbit_tables/r10_sobol_convergence_self.csv,18,rev10_manuscript_assets.py,r10_sobolA_convergence.json,2ed80124f5b19da8553758947604abc2da5189ab9963ec6afbdd2d3fc8e7be87,aa497babbc8c22b047f1756111e55e09d2ca7f9a3188ca4dc585d80d31235198,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:sobol-convergence-decisions,S12,Numerical-resolution audit for every selected orbit and comparator,MOVE,aggregate summary retained in S12; full table archived,supplement_archive/full_legacy_tables/r10_sobol_convergence_decisions.tex,processed/per_orbit_tables/r10_sobol_convergence_decisions.csv,35,rev10_manuscript_assets.py,r10_sobolA_convergence.json,2ed80124f5b19da8553758947604abc2da5189ab9963ec6afbdd2d3fc8e7be87,79b371d73293e5c9ef6c72b4e6ac2d707df652ef386925be4302344f87f013cb,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:full64-per-orbit,S12,"Per-orbit design-A vector-tolerance results, 64 orbits",MOVE,aggregate summary retained in S12; full table archived,supplement_archive/full_legacy_tables/r11_full64_per_orbit_table.tex,processed/per_orbit_tables/r11_full64_per_orbit_table.csv,65,rev11_manuscript_tables.py,r11_full_convergence.json,84872590c8f656125b334eaef1aabc76335059953f5a9ee57dae1a1adc45587f,2dce7dc2f2ba9b4b0ebd2ecd7ea22c93f24721bc7203a7c12e4efc17d152d425,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:designB-per-orbit,S12,"Per-orbit design-B vector-tolerance results, 64 orbits",MOVE,aggregate summary retained in S12; full table archived,supplement_archive/full_legacy_tables/r11_designB_per_orbit_table.tex,processed/per_orbit_tables/r11_designB_per_orbit_table.csv,65,rev11_manuscript_tables.py,r11_designB_rows.json,8751a7df501e19cc9a982fd07955cc7154af1ba954866b6b58296e6101cdd2fa,03041dc31f736fa01aa3cd8838ee459ea49531c71fc358358936cf62a6aa776e,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:sobol-primary-audit,S12,Complete primary-policy audit for propagated design A,MOVE,aggregate summary retained in S12; full table archived,supplement_archive/full_legacy_tables/r10_sobol_primary_audit.tex,processed/per_orbit_tables/r10_sobol_primary_audit.csv,65,rev10_manuscript_assets.py,r10_aggregate_summary.json,ad0a456acd6e22eee9d30d6ba20fd3c7f942a774ba908e9b40bd591ce1f51cf5,9eb1335af1fa3b79bf8f07939f3d13ef139e84d0d05362a644e4ddbfbb4f9a81,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:sobol-sensitivity-audit,S12,Schedule-sensitivity and diagnostic audit for propagated design A,MOVE,aggregate summary retained in S12; full table archived,supplement_archive/full_legacy_tables/r10_sobol_sensitivity_audit.tex,processed/per_orbit_tables/r10_sobol_sensitivity_audit.csv,65,rev10_manuscript_assets.py,r10_aggregate_summary.json,ad0a456acd6e22eee9d30d6ba20fd3c7f942a774ba908e9b40bd591ce1f51cf5,e422bf5c319c985992c1680c0ddda7c1119ee60279cc34f20fb7ba8173f61961,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:sobol-designA-coordinates,S12,"Exact Sobol coordinates and transformed altitude coordinates, design A",MOVE,aggregate summary retained in S12; full table archived,supplement_archive/full_legacy_tables/r10_sobol_designA_coordinates.tex,processed/per_orbit_tables/r10_sobol_designA_coordinates.csv,65,rev10_manuscript_assets.py,r10_sobolA_design.json,bd36e459678991a414532c853e2da876ee4711ca89606237f558fdaf3a8b8a78,1c644a0af4f8f9f44eb064080a2c048232f5e47a15f288e791c26de65049b9ec,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:sobol-designB-coordinates,S12,"Exact Sobol coordinates and transformed altitude coordinates, design B",MOVE,aggregate summary retained in S12; full table archived,supplement_archive/full_legacy_tables/r10_sobol_designB_coordinates.tex,processed/per_orbit_tables/r10_sobol_designB_coordinates.csv,65,rev10_manuscript_assets.py,r10_sobolA_design.json,bd36e459678991a414532c853e2da876ee4711ca89606237f558fdaf3a8b8a78,1056d7816874e9d3b4365e52d9ab6a6e83dc6b9d883fcda1ebe17b1d0def00a8,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:blend-error-detail,S4,Complete LRO-like same-tolerance reference-error audit,MOVE,aggregate summary retained in S4; full table archived,supplement_archive/full_legacy_tables/r10_blend_error_detail.tex,processed/per_orbit_tables/r10_blend_error_detail.csv,5,rev10_manuscript_assets.py,r10_blend_lro_convergence.json,13210729e39e086e6dad6002620c94590404972c78c0cb8dabe899c2113dfa8d,e539fb2bc0eeb82da8dc4bfbc2a57f259a0ca46a26a028ffed199362a9b07943,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
tab:blend-telemetry,S4,"LRO-like propagation telemetry, per trajectory",MOVE,aggregate summary retained in S4; full table archived,supplement_archive/full_legacy_tables/r10_blend_telemetry.tex,processed/per_orbit_tables/r10_blend_telemetry.csv,7,rev10_manuscript_assets.py,r10_blend_lro_convergence.json,13210729e39e086e6dad6002620c94590404972c78c0cb8dabe899c2113dfa8d,fd005d51e94e61eaef264a33400068c293dfac7488f8e8a4a74b06c39c4aaa9d,no text in either document referenced this table; per-case inventory not practically inspectable on the page,none
